jid,lid
36635,331
27299,331
14374,186
3388,367
26082,367
33176,232
36536,325
6099,14
29189,14
8151,25
25300,331
12000,309
25696,331
22784,371
34694,309
16232,331
28123,219
29592,404
11166,83
6152,25
29242,25
4121,110
19778,25
27593,404
25848,321
22835,309
35182,248
32257,83
3680,367
14860,429
7136,168
26246,367
17383,25
28957,14
15010,373
6070,373
18802,123
14385,321
27745,394
20417,133
24247,367
3868,14
19140,118
967,243
15442,3
14387,367
20264,268
7191,225
11324,268
13605,331
36695,331
35874,367
7677,118
18071,25
25362,404
33920,110
35100,192
2478,280
733,197
13124,408
925,367
4569,219
5688,25
14293,331
23233,331
9141,309
4435,404
18186,133
26009,373
33103,238
2473,286
36697,3
35642,367
27175,25
26779,25
15222,13
9341,370
9382,371
23482,254
34608,110
15466,373
31011,47
2434,331
32183,268
34860,331
14882,322
36354,14
22663,336
12019,254
12842,321
2924,343
21784,367
24454,13
24951,65
21002,331
12062,331
26547,25
9257,268
1767,403
2882,90
6996,83
4819,343
1381,367
33411,367
12991,13
18681,88
19061,309
31853,110
203,331
32629,331
33025,331
36325,373
18623,83
3026,219
20488,268
24753,430
1434,378
18099,83
11492,336
26363,96
1533,357
7218,88
1569,14
6822,88
4585,297
24659,14
17317,47
27235,25
34922,404
20770,331
36175,25
13447,414
11009,367
10136,213
33575,367
33179,367
15772,25
30116,268
29720,268
2984,343
32793,331
26855,154
25946,343
22240,367
21844,367
13377,25
7114,88
1921,65
22771,3
30990,243
31711,3
4309,25
35943,25
18546,371
30456,309
35648,107
30018,83
31327,13
22631,373
22235,373
6794,268
35574,343
26238,343
30948,367
22008,367
13541,25
10965,14
2025,14
1629,14
4795,268
13145,25
27885,268
753,343
20054,110
26,14
32015,13
16422,268
16026,268
33,404
9763,331
9367,331
5093,83
31240,367
20593,14
22773,25
4691,268
7368,331
13309,25
29682,110
4563,268
10587,219
27653,268
17009,186
20173,367
32408,65
23720,286
23412,133
1846,25
17586,197
4265,52
15794,268
30758,219
18471,331
21818,219
8314,367
21721,286
27708,325
287,297
7532,331
5727,197
28877,248
19295,219
25556,83
8461,13
34168,25
486,133
14087,268
16764,331
30520,404
28775,321
9917,343
6479,367
9774,65
20706,25
28011,110
18675,110
17708,321
28391,331
405,302
6855,65
7631,286
17710,367
303,25
2980,88
23398,369
29036,254
25674,88
23191,268
34614,88
34041,226
12258,83
15711,367
17555,429
30683,179
6906,3
12372,370
9354,14
11976,370
17857,13
35214,268
34818,268
25878,268
5069,331
16979,269
25482,268
399,83
3811,366
3852,367
23489,83
27338,367
9535,25
30445,14
11816,88
30049,14
22707,47
32101,25
34778,88
3128,309
34382,88
36426,238
30452,404
15875,367
6539,367
749,88
27201,254
7070,3
4402,403
34982,268
34586,268
3824,197
35458,197
5071,3
28161,3
18639,25
6727,14
953,268
557,268
29817,14
3234,331
16990,404
992,196
16212,110
25928,331
29496,373
12075,325
35602,326
4007,254
27818,14
20930,25
1293,309
3533,371
5090,403
12184,268
35274,268
5525,331
8142,343
795,32
23945,83
30796,190
16751,14
15918,13
32879,268
6891,14
9071,25
7034,322
15141,321
24100,371
12482,83
15539,367
7468,25
33235,88
32839,88
14377,110
10483,83
11952,268
33573,83
24431,326
35914,197
26767,96
36502,367
36106,367
18699,25
10638,371
9953,268
3974,90
32647,268
5911,343
15057,219
7236,25
4660,14
23609,110
9517,88
4467,373
27557,373
27309,271
3250,409
36794,367
2661,14
4841,25
35338,387
9721,268
35053,403
15015,343
32415,268
30812,268
23773,110
33489,331
23965,280
3789,286
35442,336
28095,25
19349,268
26355,286
24305,321
34563,367
16538,390
19833,88
7197,46
20619,243
34039,367
18134,350
1167,280
4240,343
22803,373
33257,331
33653,331
6180,113
19587,32
36020,168
10,367
21980,336
35335,65
22704,367
35548,358
2721,14
35983,286
5169,25
25683,14
27863,25
30540,88
3124,404
25094,373
31555,325
8184,83
34727,367
2774,25
17077,267
34862,3
33945,331
9545,176
28879,83
30744,268
32332,367
17423,123
33421,331
14802,369
3174,117
2885,14
17854,309
23795,3
28349,268
19409,268
24703,343
4345,113
1722,286
13585,378
23452,14
8631,371
9792,403
7946,268
9847,110
23259,373
25783,194
34874,363
18253,176
9937,3
12117,14
8137,213
14565,25
14169,25
16846,88
28909,268
19573,268
22190,280
34886,373
22088,3
14371,159
1055,358
32643,13
32359,254
318,65
31963,254
17574,268
19079,110
6159,309
6245,83
13404,343
28811,83
12906,66
20354,429
8140,110
32264,367
6111,268
28805,268
31482,331
14267,159
28707,110
5675,88
23908,14
17342,268
16946,268
18802,367
29732,254
17244,110
14625,25
15067,370
4014,83
21916,404
1837,343
20567,321
7998,3
25900,324
8894,326
24243,88
3104,47
9714,65
32744,14
26970,268
26574,268
29647,331
28337,176
6806,254
10543,297
20125,326
26534,88
35474,88
4123,376
28054,238
573,159
6519,197
5774,43
34554,118
29452,213
31358,399
10214,14
15071,88
3252,268
17352,151
18961,373
26342,268
32863,271
28198,367
27802,367
33490,369
30909,14
11179,107
931,25
3608,88
15275,268
14879,268
17952,331
3550,83
20030,65
35976,83
30489,367
30962,25
1213,88
28061,254
492,328
10115,358
12880,268
25475,309
5004,367
24513,83
31946,168
29021,3
27966,367
30636,13
35930,88
31513,286
17072,110
13178,83
13331,325
9969,159
20337,343
25381,243
27829,254
31566,297
3658,151
12607,267
34962,47
15325,331
6385,331
36858,299
27336,321
14108,367
5168,367
8478,343
24958,325
15622,325
25434,254
16494,254
1709,268
33739,268
1581,268
1185,268
27632,90
5940,65
28371,429
10857,190
27686,326
11005,88
31027,369
22524,370
28902,65
34871,309
6283,404
1921,309
19185,373
1879,83
18312,219
4550,331
2349,197
26027,367
29194,65
8096,25
10773,88
30790,25
1437,88
31186,25
1241,176
22440,268
33467,88
18398,343
10868,325
14168,367
14564,367
20049,10
6537,297
16616,378
25890,254
26275,65
11105,268
31468,88
25397,321
1245,268
6935,343
30410,154
4156,3
3101,367
2705,367
15685,219
25795,367
34689,22
6208,14
30024,118
18112,107
1923,331
7864,25
21812,268
3772,13
13744,197
35802,13
10879,83
4649,286
1696,325
6261,25
20894,371
31632,88
10873,268
12774,110
16167,343
35864,110
2471,321
35423,367
16185,168
15440,14
15500,65
17492,25
2087,331
4704,343
777,176
4514,219
23960,367
32900,367
3540,13
4037,65
6029,25
31796,88
146,309
35189,321
9568,83
13998,90
10641,268
13318,331
21344,176
12497,367
31738,83
5590,328
15208,14
15268,65
20461,88
15736,133
11715,331
36550,414
17260,25
6649,83
14887,373
2251,331
31208,268
36299,14
12873,65
20269,268
2531,321
22758,280
18959,113
16495,343
33339,13
8812,83
24836,14
3798,25
10835,110
23875,13
29565,88
8410,268
11483,331
34177,331
36666,343
32960,367
32178,331
18482,309
12159,321
20433,268
34667,343
36470,404
18044,83
4090,25
36516,25
6767,88
6371,88
11381,404
30109,309
8574,268
10558,367
21449,326
10034,367
20488,325
24657,25
13141,14
9932,90
6575,268
29665,268
14068,404
32342,331
34959,343
11927,321
29141,268
14158,297
12798,25
16647,309
27142,268
18202,268
17806,268
23496,343
33455,322
32890,321
19266,367
25350,369
27230,88
6739,268
14497,113
6530,94
35618,322
13090,25
16163,88
22484,3
30507,331
20395,110
19999,110
30111,331
10529,322
174,343
17970,268
19954,367
31,65
13492,190
16367,268
9221,213
9312,331
35076,123
30263,321
7313,331
32020,414
4112,268
27598,268
466,343
32642,168
32353,65
16026,325
9911,286
1676,267
31048,254
32605,286
35181,297
24927,370
7863,367
20702,14
7477,331
3492,186
4276,268
23720,343
9380,219
5674,243
28430,367
19490,367
9807,286
11023,25
11419,25
14096,88
4760,88
2277,268
16565,202
34113,25
3108,196
14038,83
22601,133
17887,367
6123,254
22556,390
10980,328
16967,367
8027,367
14193,371
25327,88
20998,133
16185,331
36598,268
6849,331
30335,331
34605,83
6028,367
35816,232
11072,267
34131,200
26404,422
13468,88
8358,322
8418,373
13330,154
7793,321
14202,83
26595,367
10993,159
9589,369
30286,65
32278,25
14485,371
14196,268
25813,331
36510,47
31358,25
28884,321
25871,309
13672,268
7349,280
36762,268
17896,429
5072,336
23492,88
13478,402
17518,254
34615,370
18866,112
16777,219
23434,83
27283,367
17423,367
4828,326
11237,88
23589,371
29470,14
30306,286
30394,133
34723,88
16641,331
15273,198
11575,83
27659,65
298,88
26354,254
14262,110
25669,151
20588,369
20187,25
14454,280
4402,110
9199,133
26463,197
25496,408
16196,65
502,268
25782,213
23068,268
7471,404
27763,14
22286,232
7121,25
6725,25
29815,25
7561,297
32492,88
23552,88
14030,110
36091,197
10136,83
36283,367
35223,387
3729,367
6148,394
20633,88
11693,88
28654,343
10090,88
21650,371
14322,110
29583,25
35653,321
20837,268
14178,331
19527,113
32994,83
8250,118
27584,25
16068,14
13492,3
30261,88
5765,225
3919,90
34889,110
18120,25
2022,367
2715,331
21135,83
1498,367
24588,367
36635,14
30465,268
32552,88
716,331
15587,91
21129,268
23030,110
12727,321
23806,331
16959,343
25300,14
16420,65
11695,110
16232,14
30029,88
9270,268
6020,343
11947,331
30763,83
33096,336
1790,367
16413,25
5642,168
17593,107
24752,367
27496,154
9626,88
21769,197
22753,367
2770,14
2374,14
4554,25
4950,25
8007,309
28482,370
19294,268
2181,373
30321,88
21575,331
9434,268
5480,190
33588,367
13564,13
13605,14
26751,343
10409,325
11666,65
34371,254
34696,14
18810,47
34756,65
7395,88
10788,321
30089,88
12405,404
18666,268
8418,186
6079,118
23233,14
34148,367
27090,159
16345,25
11969,224
7599,268
31165,197
10177,325
2434,14
12697,404
7559,88
24520,343
8178,325
19754,387
32140,254
22814,188
24330,219
5464,380
2883,25
34913,25
5560,88
14061,14
17227,268
21991,151
9792,110
10172,331
6583,186
32486,110
10380,280
7367,268
1044,280
9351,367
20927,429
20961,13
36186,271
31521,367
31815,90
28458,268
28062,268
29963,110
36047,112
29918,367
32588,13
13295,107
35205,25
23693,133
33428,404
606,404
10336,331
13349,343
22039,168
8723,367
3329,88
1488,297
21171,358
23346,25
20049,254
22002,286
24369,123
34104,394
28226,268
17233,32
26623,268
11349,91
14898,83
18747,367
30458,65
31234,286
9814,3
24874,416
31875,90
33812,343
20116,321
950,190
29196,331
14328,88
15500,309
26391,268
9997,60
22349,343
17927,197
14666,83
31146,65
31870,96
29354,136
32742,25
35815,88
21754,133
188,25
3727,83
8269,331
20063,286
21279,25
9367,14
15016,88
3593,268
3197,268
6270,331
26683,268
29644,90
4069,197
31977,343
27747,367
7764,14
15983,254
7824,65
9816,25
21619,66
6519,254
32510,25
7443,373
23764,268
28331,14
4231,151
10115,65
21443,25
34211,186
1496,83
35391,268
35787,268
31745,343
18572,96
27911,367
17455,336
10509,369
7532,14
24452,268
15654,321
23142,113
28683,65
31071,25
11038,309
24412,88
12593,268
5554,110
22017,88
4589,367
7884,65
1526,268
12157,88
4203,331
13329,309
23824,268
29660,168
12891,83
2872,53
7877,25
35793,32
36610,254
11577,186
18051,343
1709,325
23687,155
24712,326
33848,268
33452,268
2927,110
4099,331
17891,61
35749,110
1294,268
31459,83
6588,343
2166,197
20003,123
29282,343
6049,65
22523,202
24414,110
5028,13
28555,14
33808,88
12999,151
12366,238
15332,404
8668,123
5084,322
34146,83
2654,136
17280,65
20683,232
34090,151
17092,14
35858,403
36293,331
35897,331
31227,83
22287,83
26769,280
10965,315
14656,13
5757,14
17273,25
32310,232
31221,268
1868,331
7814,369
7413,25
33518,110
21757,268
13355,321
36533,168
2367,429
27257,219
13217,387
2797,13
35223,13
8867,309
10768,151
26384,65
12323,110
10690,268
31915,83
24385,65
1353,43
26377,25
17437,25
14861,14
23364,13
5525,14
8295,268
11256,90
24728,404
31385,268
31781,268
5529,133
13399,219
419,367
11310,326
19532,83
22985,367
28668,25
31345,88
19526,268
22599,331
13263,331
10590,387
24489,14
26669,25
35008,367
1930,404
26145,25
17205,25
19486,88
31549,268
31153,268
29160,83
25454,107
583,367
12818,65
20352,202
14810,25
25913,429
5742,25
824,429
13752,91
15648,343
33284,13
1751,65
5051,107
8361,83
9285,202
11814,367
34904,367
24257,14
26437,25
17691,268
11032,331
33346,110
32381,367
27367,309
22995,280
2186,343
25672,343
22659,331
2392,219
21442,367
30588,243
32768,254
17855,268
1862,404
8519,268
34288,404
6130,83
13086,14
27279,88
27962,118
12750,65
31511,110
29086,268
11624,219
11147,65
756,429
33445,65
1912,117
12743,25
3803,25
23598,327
23441,343
17959,217
20138,3
9747,367
21982,65
21794,14
12854,14
26078,226
32055,331
24997,123
9988,429
30442,367
10459,14
36278,267
12511,25
3571,25
17915,268
7895,13
3853,88
24815,267
22146,65
15916,268
18877,90
2595,123
24138,25
10874,414
8298,403
9069,280
9413,90
9129,331
17283,176
8967,3
13199,25
15876,88
18842,254
4453,268
4057,268
11459,286
29444,110
32441,343
27019,268
34144,200
34488,10
22977,343
11205,369
33868,302
5327,243
1736,25
33766,25
35175,159
36443,88
27107,88
9027,404
8204,367
29150,13
17675,3
22308,369
3784,267
29592,331
25318,83
12379,232
28771,367
7955,13
2074,370
17007,254
31482,14
36735,88
25312,268
27213,110
26817,110
1504,25
23608,186
36591,309
3193,176
15452,268
22546,133
5672,254
22595,25
1786,88
19623,14
19298,254
24876,88
20459,286
27553,151
29162,373
36019,268
29696,280
1738,47
26010,202
16278,202
10741,369
19676,25
144,133
24684,268
30770,343
31778,133
23087,83
16818,331
31303,25
9049,297
31699,25
34756,309
13180,267
19307,343
30050,404
36707,268
26687,13
17788,14
11470,370
23041,88
20181,318
10900,25
18092,425
2443,371
26308,367
16972,367
14828,13
403,370
31996,369
11182,88
23930,371
29415,14
16588,404
13133,47
25922,331
33837,160
5507,321
20383,425
2920,151
28200,96
16204,414
22809,88
32525,309
34724,370
2446,268
34765,371
57,83
3906,367
16490,219
1952,110
8669,25
32201,370
34436,88
2204,331
5900,373
25690,331
894,176
11288,83
16918,107
15137,367
9347,88
22423,402
13483,402
35114,151
14355,331
25970,321
11154,268
7112,343
22816,104
35512,197
221,83
18297,25
34274,110
33326,371
9155,268
27295,3
21312,83
20916,83
12855,429
19223,190
35945,429
27872,14
27536,65
6834,25
23207,110
27637,117
26952,14
30155,123
13302,367
35996,367
16013,14
10622,6
30458,309
8923,268
32409,268
33473,367
24137,367
4154,14
4214,65
35764,367
1834,373
34984,404
11116,110
34602,110
35378,331
14467,117
1607,367
13446,65
36744,14
9175,88
5242,133
3442,343
29782,268
26136,343
12440,321
15640,159
33482,429
10822,13
7572,88
18843,268
1501,321
18715,268
24444,271
28484,123
30476,83
25462,25
26642,107
21769,254
31342,197
14349,404
13948,60
3356,168
33646,429
4663,25
2087,14
28632,371
36693,25
35349,286
10834,373
5636,6
11913,403
19007,268
19879,197
35044,404
16618,83
11764,280
20071,367
33882,147
21626,326
25230,25
9289,351
30923,371
33251,280
9825,331
8416,197
12442,343
22060,29
35738,219
5397,370
11379,65
19645,151
34469,65
13767,25
9973,202
2251,14
33125,326
7108,88
3839,113
12118,404
18379,268
24069,343
28587,197
44,65
19839,367
35259,369
252,14
31845,13
5109,88
22946,14
16776,268
23149,373
33209,404
24998,25
15815,267
12606,343
13284,29
28294,325
4923,83
9827,3
31466,367
22999,25
11923,286
12011,133
7594,331
1667,343
28403,268
20001,321
29275,197
26410,83
10021,219
25637,133
29467,367
497,168
12500,297
16550,83
20003,367
19607,367
23735,66
29621,53
12372,297
8666,321
34230,25
16833,371
25047,267
16544,268
9697,280
12374,343
8668,367
21111,14
4685,268
11779,133
28171,268
16159,53
17867,254
31186,326
26857,371
2645,267
26555,6
2121,267
16708,268
18296,367
8832,367
8436,367
32791,25
32395,25
2646,88
9363,3
26908,309
14313,268
17386,331
16990,331
7654,331
29397,321
29001,321
18693,188
26470,83
9940,14
18159,254
15583,243
30454,3
29399,367
3246,268
5811,90
32110,14
23947,83
32687,25
3334,88
15686,371
30171,65
8251,213
32559,25
12526,309
5826,371
14477,268
26676,309
29293,321
26238,83
6205,367
23029,159
811,88
19044,14
31000,297
23505,88
2618,268
31833,271
7313,14
20009,107
4016,243
18228,367
11170,159
31395,45
35132,88
23709,268
28869,151
15641,197
30902,112
16862,280
21339,133
14713,336
29396,45
21434,370
18416,14
3306,268
2910,268
5983,331
33343,83
24403,83
27460,367
6321,326
8313,286
3208,110
30439,14
32223,25
346,267
387,268
23873,268
30967,133
19831,343
9872,364
5142,65
28232,65
15601,367
7535,369
31456,297
27708,65
12538,268
11478,288
23833,88
5316,403
12014,268
10168,133
18038,219
36463,315
15748,13
16920,234
19941,107
33501,268
3752,331
26842,331
24326,371
5306,65
7694,25
7298,25
36711,13
1035,88
639,88
33125,139
35742,151
33403,83
25342,429
4826,367
33556,325
25772,13
22126,88
3182,336
11052,422
13268,90
12984,331
21602,88
1132,371
7937,133
6137,343
3858,326
5014,14
10267,88
17762,297
21158,47
20762,47
21934,268
24611,331
21410,268
19564,133
19168,133
2974,13
3471,65
898,325
5067,25
5463,25
29962,159
31230,88
16641,14
36624,367
19411,268
10471,268
32785,47
26904,404
7606,154
25159,321
34433,197
35998,90
11535,367
14642,14
3126,3
1037,110
5863,117
17090,25
33067,110
28268,14
14321,373
4985,373
24379,331
4797,322
375,176
72,367
19709,83
23558,367
5359,25
25873,14
26709,286
28321,25
22153,325
16986,25
17428,370
28603,88
14470,65
8240,268
34599,243
16462,25
2802,414
30806,268
21866,268
26764,343
35850,168
35910,219
3343,14
35712,234
28766,267
21768,110
22544,331
22148,331
8295,325
34557,367
10037,110
17155,369
14178,14
26926,297
8404,268
31098,268
20831,136
528,367
32954,367
34798,429
12138,13
20794,254
23753,3
14231,25
17684,309
28381,25
8348,309
11858,373
28575,268
30466,176
21916,331
20699,367
3292,25
5969,88
3732,297
24009,373
33291,110
8857,371
31262,268
2077,107
29269,83
33381,3
20086,325
15361,370
11906,13
14523,25
3007,14
5777,268
13762,112
28343,268
9477,429
33783,168
13,429
20863,367
17404,268
29475,309
21534,13
26828,88
32490,367
28635,268
20233,321
27038,83
17306,83
12688,25
23980,328
776,14
10948,286
3224,25
20373,331
9294,321
32821,322
24662,133
19789,280
15326,133
13088,117
26992,88
26596,88
17850,331
34130,225
31224,110
4240,83
5709,268
7693,367
2063,343
9196,136
20920,96
1565,66
33366,14
6193,88
27485,371
26800,268
32152,321
30930,13
30971,14
20976,378
29961,151
2490,6
30406,13
33023,25
21507,14
27536,309
14941,268
20631,343
11295,343
36038,83
20441,219
30551,367
30155,367
17915,325
19508,14
19904,14
21688,25
22084,25
24365,88
4002,268
26514,32
26964,268
29245,331
663,271
18692,367
7608,13
10225,25
30698,13
1479,268
35992,88
24569,268
15105,268
25839,243
23657,159
22248,25
4166,268
6783,280
6447,331
32550,343
32026,343
19858,369
7129,136
10918,369
995,47
32263,286
1053,25
13066,88
27694,90
15397,268
27014,331
18074,331
20691,343
6995,321
25168,196
16857,367
33761,88
17820,414
19628,65
13398,268
6611,331
24916,325
18710,168
17978,219
28088,367
10681,25
13358,88
1539,268
4612,331
25025,268
19983,414
7784,373
23715,113
28725,429
6942,286
17021,367
16625,367
20753,66
4861,254
1895,88
1499,88
30852,25
31688,297
13166,268
20260,133
5686,367
30085,297
18037,425
20225,297
10643,268
27470,331
12437,243
15169,13
5452,321
22270,268
20028,133
27710,168
31218,159
32470,309
16683,321
32032,83
4544,331
16784,373
13950,326
6226,65
13137,223
5642,14
8767,267
6566,133
22958,268
2149,331
28159,152
14160,321
20569,83
11629,83
4227,65
8420,159
26658,429
12542,13
3318,254
26733,14
31986,88
20039,268
36470,331
34665,197
26786,25
18288,370
23489,254
12369,243
160,268
31794,268
19465,154
23689,315
6784,369
22756,110
27293,14
3086,254
32150,88
34827,151
23404,331
14068,331
372,309
9114,324
12455,367
29755,88
1871,336
15038,14
8720,370
15053,322
30361,83
20629,83
992,367
28184,343
12623,136
4495,14
18292,88
31860,110
15091,25
5755,25
18847,118
4807,286
2699,343
4898,404
18630,83
31722,176
1105,429
34190,65
25747,117
33529,356
11645,161
36293,14
36353,65
30123,268
32800,331
26477,343
186,280
27734,83
35227,219
17090,1
10483,254
33573,254
21723,367
34354,65
34734,286
35474,96
6597,88
7769,309
9324,268
8830,110
15547,25
12971,14
21617,321
6801,268
5968,267
29891,268
29495,268
10629,429
35868,373
30955,367
16225,88
34062,14
27174,25
7537,309
18032,268
25126,133
20709,331
10552,367
2085,25
5445,118
16718,371
22599,14
16033,268
7093,268
32860,331
7243,212
34750,14
13316,25
25814,133
21397,331
21001,331
24014,343
19196,197
26748,159
12064,225
22570,373
7733,197
31015,367
24900,328
34518,14
4862,268
30913,90
27824,268
30441,280
33118,343
8708,254
16495,83
29943,3
32579,65
11481,25
11085,25
18487,43
31995,14
18731,403
25429,268
5470,309
15181,186
12842,118
22814,302
28879,254
8485,367
36666,83
4630,268
26123,83
28060,336
14054,88
29711,3
21273,399
34339,25
31763,14
660,404
15861,268
31570,373
2936,123
7657,336
17717,367
310,25
28608,326
32340,25
20824,14
21660,286
14258,268
16935,331
4398,268
27884,268
36824,268
25495,83
28948,367
11541,25
2399,268
5472,331
16499,151
25885,268
18450,110
14470,309
8644,373
9764,404
23496,83
26949,367
6245,254
30056,14
9018,25
5224,202
2755,88
34785,88
25845,88
28811,254
14422,268
29339,373
10252,343
15486,367
3225,202
27492,13
5764,331
18028,13
22926,88
8253,343
25653,268
27554,110
23660,83
4023,367
14324,83
25657,387
416,370
30569,168
17391,331
33961,176
13794,268
14718,387
4795,65
15254,367
6787,25
18762,358
7241,3
18421,65
5045,213
11795,268
4756,110
35281,268
2727,268
34361,268
7422,14
7523,66
29592,14
16765,404
19648,343
15942,367
27177,136
28338,168
25413,3
33242,88
27424,13
15160,331
688,88
12644,371
33494,309
5302,404
11959,268
26527,219
3891,197
23720,83
21383,88
22159,309
34951,110
25326,7
496,268
23586,268
16533,404
26263,331
25174,367
25867,331
15122,197
17887,107
25046,367
9920,88
9524,88
584,88
30333,25
21191,268
18326,154
12123,268
25321,13
16771,168
12153,110
24797,13
10124,268
12405,331
6142,394
24416,321
15228,219
36518,429
13574,254
15131,286
28109,65
32720,110
7011,25
3425,151
21355,268
8034,123
25714,65
26211,117
32873,325
5848,297
6192,107
9496,268
31117,83
12173,331
2016,367
5748,66
24710,367
16639,25
16243,25
19696,309
29811,47
8864,176
19654,83
35939,321
13643,367
20393,422
8233,309
30943,88
19520,268
19124,268
35557,404
19903,6
24872,321
11644,367
35367,280
19608,88
15191,286
24222,404
14034,373
30751,268
3619,343
33368,280
22339,387
13013,321
12765,219
5468,25
20101,371
19812,268
12718,403
22489,331
8397,309
22189,39
2175,373
18892,268
16650,133
31049,83
23647,65
34502,367
34106,367
26035,25
25639,25
32353,423
16456,267
7953,268
16893,268
23266,373
10234,331
7952,43
22643,367
11275,254
7913,88
12923,404
18408,47
19580,268
18272,186
20796,7
17587,83
661,14
23751,14
35707,297
8406,371
17057,268
29256,309
7721,268
13015,343
241,367
25609,159
28575,325
31875,367
14864,25
7527,402
15648,107
29497,371
31054,403
31109,110
13944,25
31489,331
17397,309
34997,322
16860,104
30965,331
30767,346
16959,83
33439,65
8172,325
11945,25
35431,25
35035,25
8945,248
7885,268
14960,83
30424,357
23968,25
6175,371
6946,248
16913,88
8563,331
29452,197
28452,268
3547,200
6950,367
4708,232
35150,133
3739,370
781,65
24308,66
12109,25
16721,268
9241,367
1170,25
26541,88
12845,66
21491,373
6716,321
23340,25
26017,88
33827,123
3789,83
8331,331
7935,331
28744,268
31421,331
34038,343
11094,168
26355,83
6718,367
33936,66
21737,25
2007,118
12401,25
18044,254
6332,331
11877,25
29422,331
108,322
17281,268
14892,83
11636,343
11240,343
15717,196
7010,367
5601,233
19802,168
10513,14
35201,47
21109,25
3423,268
12413,385
32203,343
2113,113
10571,369
32736,25
4159,309
13185,83
20740,343
11404,343
17331,331
31087,404
30264,367
30737,25
24474,88
3191,268
28265,367
8631,168
20582,107
9938,25
3393,402
12615,88
1588,268
15292,151
26524,403
24282,268
8685,404
8289,404
33424,25
13638,186
25742,367
20112,343
36196,325
28849,14
179,107
15882,367
19177,65
22007,370
21169,25
13215,268
21322,267
3879,268
15496,331
25018,309
29252,404
18944,271
35909,268
4943,367
3878,43
35908,43
8050,14
4557,331
1604,370
16609,322
17393,404
15982,197
25510,367
8103,25
5090,13
33870,88
31633,297
15788,331
12983,268
10741,133
5107,367
17342,65
25657,13
19334,25
1252,268
36355,331
22349,83
6215,14
15991,286
5879,65
29654,168
8267,25
10548,88
21778,267
27509,343
29363,369
17506,65
13177,110
10752,268
1416,268
36459,280
2480,367
17103,25
5983,14
5587,14
20556,309
19207,226
24353,403
31447,268
32622,6
30882,267
8938,21
24996,280
4521,219
27483,219
14503,367
6041,369
3023,13
153,309
31407,88
26990,286
4387,404
10648,268
13721,331
33358,47
31021,52
31745,83
23434,254
14650,13
17272,369
31611,268
1862,331
4479,343
23735,367
9005,88
5408,25
13237,110
31571,88
2686,219
19752,268
30979,176
16106,343
36185,404
35362,367
15379,14
30348,309
10714,110
1774,110
411,321
2310,90
1333,367
937,367
32967,367
413,367
32777,243
15432,25
36858,96
3520,14
35946,14
22245,402
29380,268
27,331
21945,110
30252,197
18051,83
1709,65
654,429
12564,367
10136,254
16793,118
24611,14
24671,65
12040,367
19946,110
26663,25
7026,309
703,321
32356,371
23894,373
2318,331
14370,322
4807,343
1101,367
15200,25
32349,331
30888,7
12426,29
35172,219
3865,25
12521,266
13641,297
24379,14
36291,25
1492,373
17813,268
4888,123
25839,113
8745,268
10729,367
10333,367
29727,325
36733,343
9367,22
15492,25
21135,254
18945,309
31682,403
31737,110
18507,83
29342,110
36059,25
35663,25
6310,88
26723,25
29400,88
20990,280
34806,404
1984,404
17729,166
32271,88
1634,25
22544,14
22148,14
11028,3
24200,25
18713,309
11808,343
29604,268
35294,343
30476,197
7532,22
31064,367
12865,25
27209,268
18141,268
8215,429
34574,404
27167,42
18669,387
8249,13
17932,94
36633,88
1798,25
34224,25
24492,25
16142,268
32575,404
32179,404
9483,331
21098,321
17206,367
20501,65
7870,367
11326,168
12935,390
22121,419
30832,367
19352,13
10885,425
15706,88
4283,268
36313,268
21394,90
30050,331
10031,321
28833,367
16197,325
32128,65
20806,297
20028,3
32380,286
1566,25
33596,25
8032,321
22476,14
32567,112
313,404
15514,268
27671,83
22662,369
10745,14
19360,254
4575,268
11669,133
11145,133
25672,83
30154,280
34138,200
34284,25
4535,88
25538,268
28103,90
19163,90
31515,373
18879,331
16550,197
31889,25
20373,14
22029,25
14075,268
13679,268
18973,343
36373,268
6199,367
28169,336
29289,367
28893,367
20426,25
17525,254
23103,88
8094,394
21449,123
17428,321
28507,331
28702,18
30061,65
17034,367
24128,232
11640,88
5666,254
29873,14
14260,371
22911,268
21065,133
16648,331
3038,83
13447,268
19820,373
14319,197
20194,25
24043,309
11448,268
7802,343
17196,321
802,113
3572,367
27058,367
30605,286
25104,110
20338,154
2561,279
22638,267
14135,268
7082,404
22242,267
23075,268
29448,373
5860,96
73,88
15730,3
23559,88
26525,254
29450,419
10779,267
2276,268
27649,404
16844,219
34702,268
22977,83
9424,369
673,268
32307,268
34984,331
26044,331
28035,66
6500,25
29986,25
26293,254
22339,176
34994,268
35866,197
9911,83
9515,83
19534,113
32605,83
4955,3
16135,65
6611,14
30229,133
25812,331
15655,367
6792,25
18467,66
9721,309
13914,403
16094,414
9807,83
18766,133
14349,331
28105,404
33058,186
15372,429
18176,267
9673,268
12746,331
6027,343
18291,25
32239,268
33827,367
28197,343
12688,326
36067,429
1273,367
25290,3
5216,286
32723,88
21300,268
28394,133
12502,321
28641,10
13424,367
6770,20
12900,367
20864,88
9837,268
2784,404
12514,331
3178,331
27861,20
9008,386
21355,325
12891,254
403,110
15664,25
30008,268
3272,343
28065,200
22528,367
1282,429
5121,25
5167,370
7798,88
27815,25
19069,268
18673,268
9110,289
