jid,lid
11801,65
29354,232
30942,331
34835,133
9021,254
15292,52
36825,20
20261,367
34884,25
5531,88
23896,133
16406,268
1934,25
5473,83
12530,66
22153,96
23421,25
34599,14
12037,133
10633,343
7620,331
29889,367
8354,326
32996,14
46,14
34652,25
19247,331
9090,367
227,25
25994,88
14571,268
4459,47
7532,110
23189,25
24736,123
20319,321
16334,176
4711,268
7784,331
11805,133
1065,343
29069,197
5734,366
20321,367
9481,373
18955,280
22028,343
6954,254
21778,168
8858,367
23481,25
2672,88
33257,297
25762,88
22493,113
14339,268
17412,331
31168,404
21832,404
35098,88
6331,248
6859,367
33347,190
27805,13
21086,25
18185,254
14695,88
10019,25
9628,369
30882,168
5641,151
23967,268
32585,25
2836,88
15188,371
12638,83
14107,268
17180,331
10857,343
16784,331
19461,394
18862,65
116,328
7986,414
15465,90
26893,254
5845,331
3040,268
798,133
31424,343
26262,387
7339,14
17511,286
19691,297
18254,367
9544,267
1041,268
12068,88
31225,133
23735,268
32481,25
35158,88
6393,321
12802,83
28839,219
1129,88
36521,254
7846,3
10523,66
24279,139
35110,47
21018,25
23695,88
15285,280
32,226
27585,373
14949,331
17027,65
11490,232
19024,369
12756,88
7604,66
31090,66
16021,321
19857,343
35813,325
7556,25
7561,369
32927,88
3574,151
21463,267
15525,90
24861,90
27877,373
13832,197
36398,197
12227,94
17131,14
16735,14
4164,367
7667,14
21464,88
21860,88
8294,112
6541,168
2165,367
14171,13
29047,117
13887,254
28758,14
30320,390
7720,25
1061,88
33091,88
22064,268
9748,396
4555,373
21668,268
8743,123
15009,331
36690,197
15743,326
9521,390
9953,47
3676,404
18951,25
36496,331
21628,88
1554,371
869,268
33295,268
15437,219
35414,3
25419,367
4999,13
19629,88
10293,88
23806,403
5243,373
21960,268
30900,268
3974,219
26527,14
4273,286
13560,367
26967,286
2192,254
2223,321
16667,14
10101,268
35868,331
8504,83
10684,94
34651,367
19049,159
2097,367
30812,47
31877,371
10457,88
7537,267
3789,65
35819,65
14248,367
5385,25
20810,371
1799,151
22802,331
4861,25
12294,110
28347,25
34813,321
31404,309
8796,83
12942,331
20036,196
26698,404
34227,197
20619,22
24356,65
3258,25
33299,336
10295,110
25952,25
34419,367
28629,88
34466,213
8662,268
8266,268
11227,90
11339,331
25095,404
31356,268
22954,321
30832,268
390,367
12396,13
9388,345
12893,65
34715,136
35527,14
12896,336
5549,25
11192,254
31316,88
